,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
2,48,375,0320,88101,2,35.201592,-101.909275,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,341,93.0,Y,341,366,0,0,,,Certified,5.40176,3.461715,27.6,2020-09-20 00:00,22.0,2020-09-19 00:00,21.5,2020-10-08 00:00,18.7,2020-09-18 00:00,,,,,18.7,14.9,12.0,9.0,6.7,4.7,2.0,Amarillo A&M,6500 Amarillo Blvd West,Texas,Potter,Amarillo,11100,"Amarillo, TX",2021-10-31
9,48,453,0014,88101,1,30.354944,-97.761803,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,76,21.0,N,76,366,0,0,,,Certified,5.896053,2.545607,12.7,2020-12-05 00:00,12.1,2020-11-27 00:00,11.0,2020-12-15 00:00,10.6,2020-11-13 00:00,,,,,12.7,12.1,10.6,9.5,7.8,5.8,2.7,Austin North Hills Drive,3824 North Hills Drive,Texas,Travis,Austin,12420,"Austin-Round Rock, TX",2021-10-31
16,48,453,0021,88101,3,30.263204,-97.712891,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,356,97.0,Y,356,366,0,0,,,Certified,9.570787,5.35105,60.3,2020-06-27 00:00,32.3,2020-07-02 00:00,30.7,2020-06-26 00:00,24.2,2020-06-30 00:00,,,,,24.2,23.0,18.3,15.7,11.6,8.4,4.6,Austin Webberville Rd,2600B Webberville Rd,Texas,Travis,Austin,12420,"Austin-Round Rock, TX",2021-10-31
22,48,453,0021,88101,2,30.263204,-97.712891,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,24,77.0,N,24,31,0,41,,,Certified,8.5875,5.581593,29.4,2020-07-02 00:00,17.6,2020-10-06 00:00,13.8,2020-04-09 00:00,13.6,2020-04-21 00:00,,,,,29.4,29.4,17.6,13.8,9.3,7.4,4.7,Austin Webberville Rd,2600B Webberville Rd,Texas,Travis,Austin,12420,"Austin-Round Rock, TX",2021-10-31
29,48,453,1068,88101,2,30.35386,-97.69166,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,347,95.0,Y,347,366,0,0,,,Certified,9.398847,5.328661,60.0,2020-06-27 00:00,32.0,2020-06-26 00:00,25.0,2020-07-07 00:00,24.7,2020-06-30 00:00,,,,,24.7,22.5,18.3,15.2,11.6,8.3,4.5,Austin North Interstate 35,8912 N IH 35 SVRD SB,Texas,Travis,Austin,12420,"Austin-Round Rock, TX",2021-10-31
36,48,201,0058,88101,2,29.770698,-95.031232,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,352,96.0,Y,352,366,0,0,,,Certified,10.010227,5.077379,50.2,2020-06-26 00:00,34.2,2020-07-02 00:00,27.8,2020-06-27 00:00,26.0,2020-07-01 00:00,,,,,26.0,22.6,18.9,15.6,12.2,9.0,5.1,Baytown,7210 1/2 Bayway Drive,Texas,Harris,Baytown,26420,"Houston-The Woodlands-Sugar Land, TX",2021-10-31
43,48,061,0006,88101,2,25.892518,-97.49383,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,354,97.0,Y,354,366,0,0,,,Certified,10.05565,8.11565,82.4,2020-06-26 00:00,57.1,2020-06-27 00:00,53.3,2020-04-23 00:00,41.9,2020-04-19 00:00,,,,,41.9,34.0,23.6,17.2,12.1,8.0,4.1,Brownsville,344 Porter Drive,Texas,Cameron,Brownsville,15180,"Brownsville-Harlingen, TX",2021-10-31
50,48,041,1086,88101,1,30.628333,-96.362777,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,303,83.0,N,303,366,0,0,,,Certified,8.09934,4.549922,34.8,2020-06-26 00:00,32.3,2020-07-02 00:00,31.8,2020-06-27 00:00,22.0,2020-06-30 00:00,,,,,22.0,21.0,16.0,12.5,10.0,7.2,3.7,Bryan Finfeather Road,3670 Finfeather Road,Texas,Brazos,College Station,17780,"College Station-Bryan, TX",2021-10-31
57,48,355,0032,88101,4,27.804489,-97.431553,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,340,93.0,Y,340,366,0,0,,,Certified,9.357647,6.861945,70.5,2020-06-26 00:00,67.3,2020-06-27 00:00,29.1,2020-04-20 00:00,28.5,2020-07-01 00:00,,,,,28.5,27.3,20.7,16.3,10.7,7.7,4.4,Corpus Christi Huisache,3810 Huisache Street,Texas,Nueces,Corpus Christi,18580,"Corpus Christi, TX",2021-10-31
64,48,355,0032,88101,3,27.804489,-97.431553,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,356,97.0,Y,356,366,0,0,,,Certified,8.08427,6.643627,64.3,2020-06-26 00:00,63.1,2020-06-27 00:00,29.6,2020-07-02 00:00,27.4,2020-04-20 00:00,,,,,27.4,26.5,18.7,15.0,9.5,6.2,3.1,Corpus Christi Huisache,3810 Huisache Street,Texas,Nueces,Corpus Christi,18580,"Corpus Christi, TX",2021-10-31
